Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Teorema,movie,"Drama, Mystery",1968,7.0,JP
Lisa and the Devil,movie,"Horror, Mystery",1973,6.2,JP
Baron Blood,movie,Horror,1972,5.9,JP
A Bay of Blood,movie,"Horror, Mystery, Thriller",1971,6.5,JP
Le Samouraï,movie,"Crime, Drama, Thriller",1967,8.0,JP
Donkey Skin,movie,"Comedy, Fantasy, Musical",1970,7.0,JP
Sky High,movie,"Action, Adventure, Drama",2002,6.1,JP
Papillon,movie,"Biography, Crime, Drama",1973,8.0,JP
The Umbrellas of Cherbourg,movie,"Drama, Musical, Romance",1964,7.8,JP
The Family Man,movie,"Comedy, Drama, Fantasy",2000,6.8,JP
I Am Legend,movie,"Drama, Horror, Sci-Fi",2007,7.2,JP
Dan in Real Life,movie,"Comedy, Drama, Romance",2007,6.8,US
The Man Without a Past,movie,"Comedy, Drama, Romance",2002,7.6,JP
Equilibrium,movie,"Action, Drama, Sci-Fi",2002,7.3,JP
Running Scared,movie,"Action, Crime, Drama",2006,7.3,JP
xXx,movie,"Action, Adventure, Drama",2002,5.8,US
Speed Racer,movie,"Action, Adventure, Comedy",2008,6.1,JP
Shooter,movie,"Action, Drama, Thriller",2007,7.1,JP
Idiocracy,movie,"Adventure, Comedy, Sci-Fi",2006,6.5,US
Ghost Train,movie,Horror,2006,4.9,JP
Fun with Dick and Jane,movie,"Comedy, Crime",2005,6.2,US
Rambo,movie,"Action, Thriller",2008,7.0,JP
"10,000 BC",movie,"Action, Adventure, Drama",2008,5.1,JP
Before the Devil Knows You're Dead,movie,"Crime, Drama, Thriller",2007,7.3,US
The Match Factory Girl,movie,"Comedy, Crime, Drama",1990,7.5,JP
Band of Outsiders,movie,"Comedy, Crime, Drama",1964,7.6,JP
Napoleon Dynamite,movie,Comedy,2004,7.0,US
Æon Flux,movie,"Action, Adventure, Sci-Fi",2005,5.4,JP
Drifting Clouds,movie,"Comedy, Drama",1996,7.6,JP
Kika,movie,Comedy,1993,6.5,JP
Step Up 2: The Streets,movie,"Drama, Music, Romance",2008,6.2,US
REC,movie,"Horror, Mystery, Thriller",2007,7.4,JP
Cast Away,movie,"Adventure, Drama, Romance",2000,7.8,"JP, US"
Transformers: Revenge of the Fallen,movie,"Action, Adventure, Sci-Fi",2009,6.0,JP
The Conformist,movie,Drama,1970,7.9,JP
Swallowtail Butterfly,movie,"Crime, Drama",1996,7.5,JP
Deep Impact,movie,"Action, Drama, Sci-Fi",1998,6.3,JP
K-19: The Widowmaker,movie,"Drama, History, Thriller",2002,6.7,"JP, US"
Cannibals in the Streets,movie,"Drama, Fantasy, Horror",1980,5.5,JP
The Final Countdown,movie,"Action, Adventure, Sci-Fi",1980,6.7,JP
Hellraiser: Bloodline,movie,"Horror, Sci-Fi",1996,5.1,JP
Conspiracy Theory,movie,"Action, Drama, Mystery",1997,6.7,JP
Under Siege,movie,"Action, Thriller",1992,6.5,JP
Red Planet,movie,"Action, Sci-Fi, Thriller",2000,5.7,JP
Che: Part Two,movie,"Biography, Drama, History",2008,6.8,JP
Che: Part One,movie,"Biography, Drama, History",2008,7.1,JP
Deep Blue Sea,movie,"Action, Adventure, Sci-Fi",1999,5.9,JP
Jeepers Creepers,movie,"Horror, Mystery",2001,6.2,JP
Twilight,movie,"Drama, Fantasy, Romance",2008,5.3,US
Hellraiser,movie,"Horror, Thriller",1987,6.9,JP
The Great Silence,movie,"Drama, Western",1968,7.7,JP
Police Story,movie,"Action, Comedy, Crime",1985,7.5,JP
Hellbound: Hellraiser II,movie,"Horror, Thriller",1988,6.4,JP
Hot Shots! Part Deux,movie,"Action, Comedy",1993,6.6,US
Eraser,movie,"Action, Crime, Thriller",1996,6.2,JP
Femme Fatale,movie,"Crime, Drama, Mystery",2002,6.2,JP
Ghost in the Shell,movie,"Action, Animation, Crime",1995,7.9,JP
Clear and Present Danger,movie,"Action, Crime, Drama",1994,6.9,JP
Transporter 2,movie,"Action, Thriller",2005,6.3,JP
The Goonies,movie,"Adventure, Comedy, Family",1985,7.7,JP
Mad Max Beyond Thunderdome,movie,"Action, Adventure, Sci-Fi",1985,6.2,JP
Hollow Man,movie,"Action, Horror, Sci-Fi",2000,5.9,US
The Crow: Salvation,movie,"Action, Crime, Fantasy",2000,4.9,US
Black Mask,movie,"Action, Adventure, Comedy",1996,6.0,JP
Enter the Dragon,movie,"Action, Crime, Thriller",1973,7.6,JP
The Way of the Dragon,movie,"Action, Adventure, Comedy",1972,7.2,JP
Dodgeball: A True Underdog Story,movie,"Comedy, Sport",2004,6.7,US
Daredevil,movie,"Action, Crime",2003,5.3,JP
Spy Kids 2: Island of Lost Dreams,movie,"Action, Adventure, Comedy",2002,5.3,JP
Scanners,movie,"Horror, Sci-Fi, Thriller",1981,6.7,JP
The Exorcist,movie,Horror,1973,8.1,JP
Hot Shots!,movie,"Action, Comedy",1991,6.7,US
The Fast and the Furious: Tokyo Drift,movie,"Action, Crime, Thriller",2006,6.1,JP
The Negotiator,movie,"Action, Crime, Drama",1998,7.3,JP
The Italian Job,movie,"Action, Crime, Thriller",2003,7.0,JP
Ju-On: The Grudge 2,movie,"Drama, Horror, Mystery",2003,6.3,JP
Ring 2,movie,"Horror, Mystery, Sci-Fi",1999,5.9,JP
Ring 0: Birthday,movie,"Horror, Mystery, Thriller",2000,5.9,JP
Children of Men,movie,"Drama, Sci-Fi, Thriller",2006,7.9,JP
One Missed Call,movie,"Horror, Mystery",2003,6.2,JP
"Blood In, Blood Out",movie,"Biography, Crime, Drama",1993,7.9,US
Swordfish,movie,"Action, Crime, Thriller",2001,6.5,JP
Spiral,movie,"Drama, Fantasy, Horror",1998,5.2,JP
Demolition Man,movie,"Action, Sci-Fi, Thriller",1993,6.7,JP
Hannibal,movie,"Crime, Drama, Thriller",2001,6.8,JP
Epic Movie,movie,"Adventure, Comedy, Fantasy",2007,2.4,US
Step Up,movie,"Crime, Drama, Music",2006,6.5,US
The Fast and the Furious,movie,"Action, Crime, Thriller",2001,6.8,JP
The Rock,movie,"Action, Adventure, Thriller",1996,7.4,US
Happy Feet,movie,"Adventure, Animation, Comedy",2006,6.4,JP
Grandma's Boy,movie,Comedy,2006,6.9,US
The Good Girl,movie,"Drama, Romance",2002,6.4,US
Deck the Halls,movie,"Comedy, Family",2006,5.1,US
Arthur and the Invisibles,movie,"Adventure, Animation, Comedy",2006,6.0,JP
Unleashed,movie,"Action, Crime, Thriller",2005,7.0,JP
My Lucky Stars,movie,"Action, Comedy, Crime",1985,6.3,JP
District B13,movie,"Action, Crime, Sci-Fi",2004,7.1,JP
Spy Kids,movie,"Action, Adventure, Comedy",2001,5.6,JP
9½ Weeks,movie,"Drama, Romance",1986,5.9,JP
Empire of the Sun,movie,"Drama, War",1987,7.7,JP
Shinobi: Heart Under Blade,movie,"Action, Drama, Fantasy",2005,6.8,JP
White Men Can't Jump,movie,"Comedy, Sport",1992,6.8,US
My Left Foot,movie,"Biography, Drama",1989,7.8,JP
A Walk to Remember,movie,"Drama, Romance",2002,7.3,US
Funny Games,movie,"Crime, Drama, Thriller",1997,7.5,JP
The Shaolin Temple,movie,"Action, Comedy, Drama",1982,6.8,JP
The Ides of March,movie,"Drama, Thriller",2011,7.1,JP
Dobermann,movie,"Action, Comedy, Crime",1997,6.5,JP
Purple Noon,movie,"Crime, Drama, Thriller",1960,7.7,JP
Hanging Up,movie,"Comedy, Drama",2000,4.9,US
The Road to Wellville,movie,"Comedy, Drama",1994,5.9,JP
Drop Dead Gorgeous,movie,"Comedy, Romance, Thriller",1999,6.7,JP
Perfect Blue,movie,"Animation, Crime, Drama",1997,8.0,JP
Sherlock Holmes,movie,"Action, Adventure, Mystery",2009,7.6,JP
The Crow: City of Angels,movie,"Action, Crime, Fantasy",1996,4.6,JP
Child's Play,movie,"Horror, Thriller",1988,6.7,JP
Hitman,movie,"Action, Comedy, Crime",1998,6.1,JP
Once Upon a Time in China and America,movie,"Action, Adventure, History",1997,6.3,JP
Mean Girls,movie,Comedy,2004,7.1,JP
Magnum Force,movie,"Action, Crime, Mystery",1973,7.2,JP
The Enforcer,movie,"Action, Crime, Thriller",1976,6.7,JP
Sudden Impact,movie,"Action, Crime, Thriller",1983,6.6,JP
The Dead Pool,movie,"Action, Crime, Mystery",1988,6.3,JP
The Waterboy,movie,"Comedy, Sport",1998,6.2,US
[Rec]²,movie,"Horror, Thriller",2009,6.5,JP
Tigerland,movie,"Drama, War",2000,6.9,US
The Client,movie,"Crime, Drama, Mystery",1994,6.7,JP
Police Story 2,movie,"Action, Comedy, Crime",1988,7.1,JP
Infernal Affairs,movie,"Crime, Drama, Mystery",2002,8.0,JP
Showgirls,movie,Drama,1995,5.1,JP
Dr. Dolittle 2,movie,"Comedy, Family, Fantasy",2001,4.7,US
Water Lilies,movie,"Drama, Romance",2007,6.7,JP
The Draughtsman's Contract,movie,"Comedy, Drama, Mystery",1982,7.2,JP
Revolver,movie,"Action, Crime, Drama",2005,6.3,JP
Malena,movie,"Drama, Romance, War",2000,7.4,JP
Shutter,movie,"Horror, Mystery, Thriller",2008,5.2,US
Armour of God,movie,"Action, Adventure, Comedy",1986,6.9,JP
Farewell My Concubine,movie,"Drama, Music, Romance",1993,8.1,JP
Wonder Boys,movie,"Comedy, Drama",2000,7.2,JP
Cheaper by the Dozen,movie,"Comedy, Family",2003,5.9,US
The Notebook,movie,"Drama, Romance",2004,7.8,JP
Taxi,movie,"Action, Comedy, Crime",2004,4.6,"JP, US"
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,movie,"Adventure, Animation, Music",2003,7.8,JP
National Security,movie,"Action, Comedy, Crime",2003,5.6,US
Stalingrad,movie,"Drama, War",1993,7.5,JP
Supercop,movie,"Action, Comedy, Crime",1992,7.0,JP
My Sassy Girl,movie,"Comedy, Drama, Romance",2001,7.9,JP
Child's Play 2,movie,"Horror, Thriller",1990,6.0,JP
Child's Play 3,movie,"Horror, Thriller",1991,5.2,JP
Wheels on Meals,movie,"Action, Comedy, Crime",1984,7.0,JP
Shall We Dance?,movie,"Comedy, Drama, Music",1996,7.7,JP
Meet Dave,movie,"Adventure, Comedy, Family",2008,5.1,US
The Cannonball Run,movie,"Action, Comedy, Sport",1981,6.2,JP
Dead or Alive,movie,"Action, Crime, Drama",1999,6.7,JP
Shutter Island,movie,"Drama, Mystery, Thriller",2010,8.2,JP
A Bittersweet Life,movie,"Action, Crime, Drama",2005,7.5,JP
House,movie,"Comedy, Fantasy, Horror",1985,6.1,JP
The Mission,movie,"Adventure, Drama, History",1986,7.4,JP
A Better Tomorrow,movie,"Action, Crime, Drama",1986,7.4,JP
Book of Shadows: Blair Witch 2,movie,"Adventure, Fantasy, Horror",2000,4.0,JP
The Young Master,movie,"Action, Adventure, Comedy",1980,7.0,JP
Hellraiser III: Hell on Earth,movie,Horror,1992,5.5,JP
The Dark Crystal,movie,"Adventure, Family, Fantasy",1982,7.1,US
Ran,movie,"Action, Drama, War",1985,8.2,JP
Infernal Affairs II,movie,"Action, Crime, Drama",2003,7.2,JP
Casshern,movie,"Action, Drama, Fantasy",2004,6.0,JP
xXx: State of the Union,movie,"Action, Adventure, Crime",2005,4.5,US
Fist of Fury,movie,"Action, Drama, Romance",1972,7.2,JP
The 36th Chamber of Shaolin,movie,"Action, Adventure, Drama",1978,7.6,JP
The Hot Chick,movie,"Comedy, Fantasy",2002,5.6,US
Suspiria,movie,Horror,1977,7.3,JP
Bullet in the Head,movie,"Action, Crime, Drama",1990,7.5,JP
Capricorn One,movie,"Action, Adventure, Drama",1977,6.8,JP
When the Cat's Away,movie,"Comedy, Romance",1996,6.9,JP
Thirteen Days,movie,"Drama, History, Thriller",2000,7.3,JP
The Quick and the Dead,movie,"Action, Drama, Romance",1995,6.5,US
Body of Lies,movie,"Action, Drama, Thriller",2008,7.0,JP
Ghost in the Shell 2: Innocence,movie,"Animation, Drama, Mystery",2004,7.4,JP
The Hurt Locker,movie,"Drama, Thriller, War",2008,7.5,JP
Dark Water,movie,"Drama, Horror, Mystery",2002,6.7,JP
Spy Kids 3: Game Over,movie,"Action, Adventure, Comedy",2003,4.4,JP
