Title,Type,Genres,Release Year,IMDB Average Rating,Available Countries
Yerba Buena,movie,Comedy,2020,7.3,US
Caro Comes Out,movie,"Documentary, Short",2020,5.2,US
Dear Mr. Brody,movie,Documentary,2021,6.7,US
Rizo,movie,"Drama, Short",2020,7.0,US
Acuitzeramo,movie,"Drama, Short",2020,7.1,US
Tusk,movie,"Animation, Short",2014,,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Pseudo,movie,Thriller,2020,6.3,US
Capitão Falcão: Terror no Museu,movie,,2015,,PT
The Return of the King,movie,"Adventure, Animation, Family",1980,5.7,US
The Hobbit,movie,"Adventure, Animation, Family",1977,6.7,US
The Return of Doctor X,movie,"Horror, Mystery, Sci-Fi",1939,5.7,US
The Sisterhood of the Traveling Pants 2,movie,"Comedy, Drama, Romance",2008,6.2,"HK, ID, MY, PH, SG, TH, TW"
Key Largo,movie,"Action, Crime, Drama",1948,7.7,US
They Drive by Night,movie,"Crime, Drama, Film-Noir",1940,7.2,US
Passage to Marseille,movie,"Adventure, Drama, Romance",1944,6.8,US
Marked Woman,movie,"Crime, Film-Noir, Thriller",1937,7.1,US
The Two Mrs. Carrolls,movie,"Crime, Drama, Film-Noir",1947,6.8,US
King of the Underworld,movie,"Crime, Drama, Romance",1939,6.4,US
The Woman on Pier 13,movie,"Crime, Drama, Film-Noir",1949,6.0,US
Tomorrow Is Another Day,movie,"Crime, Drama, Film-Noir",1951,7.1,US
Megamind,movie,"Action, Adventure, Animation",2010,7.3,US
Words and Music,movie,"Biography, Comedy, Musical",1948,6.4,US
Strike Up the Band,movie,"Comedy, Musical, Romance",1940,6.8,US
Yacht Rock: A Dockumentary,movie,"Documentary, Music",2024,7.7,"AD, BA, BE, BG, BR, CZ, DK, ES, FI, FR, HR, HU, MC, MD, ME, MK, NL, NO, PL, PT, RO, RS, SE, SI, SK, US"
The Hunt,movie,Drama,2022,4.2,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Winner,movie,"Adventure, Biography, Comedy",2024,6.4,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
San Quentin,movie,"Crime, Drama, Film-Noir",1937,6.5,US
Kid Galahad,movie,"Crime, Drama, Film-Noir",1937,7.2,US
Kawasaki's Rose,movie,Drama,2009,7.0,"CZ, SK"
Mondays in the Sun,movie,"Comedy, Drama",2002,7.5,"AD, ES"
Mr. Popper's Penguins,movie,"Comedy, Family, Fantasy",2011,6.0,US
It All Came True,movie,"Comedy, Crime, Drama",1940,6.6,US
So This Is Paris,movie,Comedy,1926,7.1,US
Glee: The 3D Concert Movie,movie,"Comedy, Documentary, Music",2011,5.6,US
Lightning Strikes Twice,movie,"Crime, Drama, Film-Noir",1951,6.5,US
The Threat,movie,"Crime, Drama, Film-Noir",1949,6.7,US
The Secret Fury,movie,"Film-Noir, Mystery, Thriller",1950,6.6,US
Innocence,movie,"Drama, Thriller",2011,6.8,"CZ, SK"
Leaving,movie,"Comedy, Drama",2011,6.0,"CZ, SK"
Invisible Stripes,movie,"Action, Crime, Drama",1939,6.7,US
You Can't Get Away with Murder,movie,"Crime, Drama, Film-Noir",1939,6.3,US
The Wagons Roll at Night,movie,"Drama, Romance",1941,6.3,US
State's Attorney,movie,Drama,1932,6.6,US
Flower Buds,movie,Drama,2011,6.5,"CZ, SK"
The Incredible Burt Wonderstone,movie,Comedy,2013,5.9,"HK, ID, MY, PH, SG, TH, TW"
Riders of the Range,movie,Western,1950,6.2,US
Marine Raiders,movie,"Drama, War",1944,5.8,US
Stagecoach Kid,movie,Western,1949,6.0,US
Overland Telegraph,movie,Western,1951,5.9,US
The Right Juice,movie,"Comedy, Drama, Romance",2014,5.9,PT
The Christmas Family,movie,"Comedy, Family, Fantasy",2014,4.9,"DK, FI, NO, SE"
Saddle Legion,movie,Western,1951,6.1,US
3 Ninjas: High Noon at Mega Mountain,movie,"Action, Adventure, Comedy",1998,3.0,"BE, FR, MC"
Sawdust and Tinsel,movie,Drama,1953,7.4,US
Beetlejuice Beetlejuice,movie,"Comedy, Fantasy, Horror",2024,6.7,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, GY, HK, HN, HR, HU, ID, JM, LC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
Super/Man: The Christopher Reeve Story,movie,"Biography, Documentary",2024,8.0,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HK, HN, HR, HU, ID, JM, LC, MC, MD, ME, MK, MX, MY, NI, NL, NO, PA, PE, PH, PL, PT, PY, RO, RS, SE, SG, SI, SK, SV, TC, TH, TT, TW, US, UY, VE"
